Denmark
No.,Pos.,Player,Date of birth (age),Caps,Club
15,DF,Lee Min-sung,23 June 1973 (aged 28),52,Busan I'Cons
16,FW,Cha Du-ri,25 July 1980 (aged 21),12,Korea University
17,MF,Yoon Jung-hwan,16 February 1973 (aged 29),36,Cerezo Osaka
18,FW,Hwang Sun-hong,14 July 1968 (aged 33),97,Kashiwa Reysol
19,MF,Ahn Jung-hwan,27 January 1976 (aged 26),19,Perugia
20,DF,Hong Myung-bo (c),12 February 1969 (aged 33),128,Pohang Steelers
21,MF,Park Ji-sung,25 February 1981 (aged 21),33,Kyoto Purple Sanga
22,MF,Song Chong-gug,20 February 1979 (aged 23),27,Busan I'Cons
23,GK,Choi Eun-sung,5 April 1971 (aged 31),1,Daejeon Citizen
United States
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Brad Friedel,8 May 1971 (aged 31),74,Blackburn Rovers
2,MF,Frankie Hejduk,5 August 1974 (aged 27),38,Bayer Leverkusen
3,DF,Gregg Berhalter,1 August 1973 (aged 28),25,Crystal Palace
4,DF,Pablo Mastroeni,29 August 1976 (aged 25),8,Miami Fusion
5,MF,John O'Brien,29 August 1977 (aged 24),13,Ajax
6,DF,David Regis,2 December 1968 (aged 33),28,Metz
7,MF,Eddie Lewis,17 May 1974 (aged 28),38,Fulham
8,MF,Earnie Stewart,28 March 1969 (aged 33),77,NAC Breda
9,FW,Joe-Max Moore,23 February 1971 (aged 31),95,Everton
10,MF,Claudio Reyna (c),20 July 1973 (aged 28),86,Sunderland
11,FW,Clint Mathis,25 November 1976 (aged 25),19,MetroStars
12,DF,Jeff Agoos,2 May 1968 (aged 34),127,San Jose Earthquakes
13,MF,Cobi Jones,16 June 1970 (aged 31),153,LA Galaxy
14,DF,Steve Cherundolo,19 February 1979 (aged 23),10,Hannover 96
15,FW,Josh Wolff,25 February 1977 (aged 25),16,Chicago Fire
16,DF,Carlos Llamosa,30 June 1969 (aged 32),26,New England Revolution
17,MF,DaMarcus Beasley,24 May 1982 (aged 20),9,Chicago Fire
18,GK,Kasey Keller,29 November 1969 (aged 32),58,Tottenham Hotspur
19,GK,Tony Meola,21 February 1969 (aged 33),98,Kansas City Wizards
20,FW,Brian McBride,19 June 1972 (aged 29),58,Columbus Crew
21,FW,Landon Donovan,4 March 1982 (aged 20),20,San Jose Earthquakes
22,DF,Tony Sanneh,1 June 1971 (aged 30),29,1. FC Nürnberg
23,DF,Eddie Pope,24 December 1973 (aged 28),48,D.C. United
