Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
5,MF,Ivan Davidov,5 October 1943 (aged 26),7,Slavia Sofia
6,DF,Dimitar Penev,12 July 1945 (aged 24),46,CSKA SZ Sofia
7,FW,Georgi Popov,14 July 1944 (aged 25),16,Trakia Plovdiv
8,FW,Hristo Bonev,3 February 1947 (aged 23),24,Lokomotiv Plovdiv
9,FW,Petar Zhekov,10 October 1944 (aged 25),23,CSKA SZ Sofia
10,FW,Dimitar Yakimov,12 July 1941 (aged 28),57,CSKA SZ Sofia
11,MF,Dinko Dermendzhiev,2 June 1941 (aged 28),35,Trakia Plovdiv
12,DF,Milko Gaydarski,18 March 1946 (aged 24),12,Levski-Spartak Sofia
13,GK,Stoyan Yordanov,29 January 1944 (aged 26),4,CSKA SZ Sofia
14,DF,Dobromir Zhechev,12 November 1942 (aged 27),41,Levski-Spartak Sofia
15,DF,Boris Gaganelov,7 October 1941 (aged 28),46,CSKA SZ Sofia
16,MF,Asparuh Nikodimov,21 August 1945 (aged 24),12,CSKA SZ Sofia
17,DF,Todor Kolev,29 April 1942 (aged 28),9,Slavia Sofia
18,FW,Dimitar Marashliev,31 August 1947 (aged 22),6,CSKA SZ Sofia
19,MF,Georgi Asparuhov,4 May 1943 (aged 27),47,Levski-Spartak Sofia
20,MF,Vasil Mitkov,17 September 1943 (aged 26),7,Levski-Spartak Sofia
21,FW,Bozhidar Grigorov,27 July 1945 (aged 24),0,Slavia Sofia
22,GK,Georgi Kamenski,3 February 1947 (aged 23),0,Levski-Spartak Sofia
Morocco
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Allal Ben Kassou,30 November 1941 (aged 28),,FAR Rabat
2,DF,Abdallah Lamrani,1 January 1946 (aged 24),,FAR Rabat
3,DF,Boujemaa Benkhrif,30 November 1947 (aged 22),,KAC Kenitra
4,DF,Moulay Khanousi (c),21 June 1939 (aged 30),,MAS Fes
5,DF,Kacem Slimani,1 July 1948 (aged 21),,RS Settat
6,MF,Mohammed Mahroufi,1 January 1947 (aged 23),,DH Jadida
7,MF,Said Ghandi,16 August 1948 (aged 21),,RCA Casablanca
8,MF,Driss Bamous,15 December 1942 (aged 27),,FAR Rabat
9,FW,Ahmed Faras,7 December 1946 (aged 23),,Chabab Mohammedia
10,FW,Mohammed El Filali,9 July 1945 (aged 24),,Mouloudia Oujda
11,MF,Maouhoub Ghazouani,1 January 1948 (aged 22),,FAR Rabat
12,GK,Mohammed Hazzaz,30 November 1944 (aged 25),,MAS Fes
13,DF,Jalili Fadili,1 January 1940 (aged 30),,FAR Rabat
14,FW,Houmane Jarir,30 November 1944 (aged 25),,RCA Casablanca
15,MF,Hamed Dahane,1 January 1946 (aged 24),,Union Sidi Kacem
16,MF,Moustapha Choukri,1 January 1945 (aged 25),,RCA Casablanca
17,FW,Ahmed Alaoui,1 January 1949 (aged 21),,RS Settat
18,DF,Abdelkader El Khiati,1 January 1945 (aged 25),,FAR Rabat
19,GK,Abdelkader Ouaraghli,1 January 1943 (aged 27),,WAC Casablanca
20,GK,Abdelkader Ouaraghli,1 January 1943 (aged 27),,WAC Casablanca
21,GK,Abdelkader Ouaraghli,1 January 1943 (aged 27),,WAC Casablanca
