Costa Rica
No.,Pos.,Player,Date of birth (age),Caps,Club
10,MF,Dejan Stanković,11 September 1978 (aged 27),58,Internazionale
11,MF,Predrag Đorđević,4 August 1972 (aged 33),34,Olympiacos
12,GK,Oliver Kovačević,29 December 1974 (aged 31),3,CSKA Sofia
13,DF,Dušan Basta,18 August 1984 (aged 21),2,Red Star Belgrade
14,DF,Nenad Đorđević,7 August 1979 (aged 26),15,Partizan
15,DF,Milan Dudić,1 November 1979 (aged 26),11,Red Star Belgrade
16,DF,Dušan Petković[28][29],13 June 1974 (aged 31),12,OFK Beograd
17,MF,Albert Nađ,29 October 1974 (aged 31),42,Partizan
18,MF,Zvonimir Vukić,19 July 1979 (aged 26),25,Shakhtar Donetsk[30]
19,FW,Nikola Žigić,25 September 1980 (aged 25),11,Red Star Belgrade
20,DF,Mladen Krstajić,4 March 1974 (aged 32),45,Schalke 04
21,FW,Danijel Ljuboja,4 September 1978 (aged 27),15,Paris Saint-Germain[31]
22,MF,Saša Ilić,30 December 1977 (aged 28),32,Galatasaray
23,GK,Vladimir Stojković,28 July 1983 (aged 22),0,Red Star Belgrade[32]
Angola
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,João Ricardo,7 January 1970 (aged 36),26,Moreirense[33]
2,DF,Marco Airosa,6 August 1984 (aged 21),2,Barreirense
3,DF,Jamba,10 July 1977 (aged 28),35,Aviação
4,DF,Lebo Lebo,29 May 1977 (aged 29),15,Petro Atletico
5,DF,Kali,11 October 1978 (aged 27),21,Barreirense
6,MF,Miloy,27 May 1981 (aged 25),11,InterClube
7,MF,Paulo Figueiredo,28 November 1972 (aged 33),22,Varzim
8,MF,André Macanga,14 May 1978 (aged 28),33,Al-Salmiya
9,FW,Mantorras,18 March 1982 (aged 24),11,Benfica
10,FW,Akwá ,30 May 1977 (aged 29),77,Al-Wakra[34]
11,FW,Mateus,19 June 1984 (aged 21),4,Gil Vicente
12,GK,Lamá,1 February 1981 (aged 25),9,Petro Atletico
13,MF,Édson Nobre,3 February 1980 (aged 26),7,Paços de Ferreira
14,MF,Mendonça,9 October 1982 (aged 23),34,Varzim
15,DF,Rui Marques,3 September 1977 (aged 28),1,Leeds United[35]
16,FW,Flávio,20 December 1979 (aged 26),46,Al-Ahly
17,MF,Zé Kalanga,12 October 1983 (aged 22),23,Petro Atletico
18,FW,Love,14 March 1979 (aged 27),35,Aviação
19,FW,Titi Buengo,11 February 1980 (aged 26),2,Clermont Foot
20,DF,Locó,25 December 1984 (aged 21),11,Primeiro Agosto
21,DF,Delgado,1 November 1979 (aged 26),17,Petro Atletico
22,GK,Mário Hipólito,1 June 1985 (aged 21),1,InterClube
23,DF,Marco Abreu,8 December 1974 (aged 31),3,Portimonense
Iran
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ebrahim Mirzapour,16 September 1978 (aged 27),64,Foolad
2,MF,Mehdi Mahdavikia,24 July 1977 (aged 28),89,Hamburger SV
3,DF,Sohrab Bakhtiarizadeh,11 September 1972 (aged 33),31,Saba Battery
4,DF,Yahya Golmohammadi,19 March 1971 (aged 35),69,Saba Battery
5,DF,Rahman Rezaei,20 February 1975 (aged 31),43,Messina
6,MF,Javad Nekounam,7 September 1980 (aged 25),71,Al-Sharjah[36]
7,MF,Ferydoon Zandi,26 April 1979 (aged 27),10,1. FC Kaiserslautern
8,MF,Ali Karimi,8 November 1978 (aged 27),90,Bayern Munich
9,FW,Vahid Hashemian,21 July 1976 (aged 29),28,Hannover 96
10,FW,Ali Daei ,21 March 1969 (aged 37),147,Saba Battery
11,FW,Rasoul Khatibi,22 September 1978 (aged 27),12,Sepahan
12,GK,Hassan Roudbarian,6 July 1978 (aged 27),3,Pas
