edition,round,score1,score2,team1,team2,url,venue,year,,,,,,,,,
1950,BRAZIL,PRELIMINARY,2,0,(0,0),Bolivia,Chile,1950_BRAZIL_PR.htm,La_Paz.,1950,,,,,,
1950,BRAZIL,PRELIMINARY,0,0,(0,0),Wales,Northern Ireland,1950_BRAZIL_PR.htm,Wrexham.,1950,,,,,,
1950,BRAZIL,PRELIMINARY,5,1,(3,1),Spain ,Portugal,1950_BRAZIL_PR_GD.htm#WC,50,I,1,Madrid.,1950,,,
1950,BRAZIL,PRELIMINARY,2,2,(0,1),Portugal,Spain ,1950_BRAZIL_PR_GD.htm#WC,50,I,1,Lisboa.,1950,,,
1950,BRAZIL,PRELIMINARY,0,1,(0,0),Scotland,England,1950_BRAZIL_PR.htm,Glasgow.,1950,,,,,,
1950,BRAZIL,GROUP_STAGE,4,0,(1,0),Brazil ,Mexico ,1950_BRAZIL_FS.htm#54,WC,50,I,Rio de Janeiro.,1950,,,
1950,BRAZIL,GROUP_STAGE,2,0,(1,0),England,Chile,1950_BRAZIL_FS.htm#60,WC,50,I,Rio de Janeiro.,1950,,,
1950,BRAZIL,GROUP_STAGE,3,1,(0,1),Spain ,United States,1950_BRAZIL_FS.htm#61,WC,50,I,Curitiba.,1950,,,
1950,BRAZIL,GROUP_STAGE,3,2,(2,1),Sweden ,Italy,1950_BRAZIL_FS.htm#66,WC,50,I,Sí£o_Paulo.,1950,,,
1950,BRAZIL,GROUP_STAGE,3,0,(0,0),Yugoslavia ,Switzerland ,1950_BRAZIL_FS.htm#55,WC,50,I,Belo Horizonte.,1950,,,
1950,BRAZIL,GROUP_STAGE,2,2,(2,1),Brazil ,Switzerland ,1950_BRAZIL_FS.htm#56,WC,50,I,Sí£o_Paulo.,1950,,,
1950,BRAZIL,GROUP_STAGE,4,1,(2,0),Yugoslavia ,Mexico ,1950_BRAZIL_FS.htm#57,WC,50,I,Porto_Alegre.,1950,,,
1950,BRAZIL,GROUP_STAGE,2,0,(2,0),Spain ,Chile,1950_BRAZIL_FS.htm#62,WC,50,I,Rio de Janeiro.,1950,,,
1950,BRAZIL,GROUP_STAGE,2,2,(2,1),Sweden ,Paraguay,1950_BRAZIL_FS.htm#67,WC,50,I,Curitiba.,1950,,,
1950,BRAZIL,GROUP_STAGE,1,0,(1,0),United States,England,1950_BRAZIL_FS.htm#63,WC,50,I,Belo Horizonte.,1950,,,
1950,BRAZIL,GROUP_STAGE,2,0,(1,0),Brazil ,Yugoslavia ,1950_BRAZIL_FS.htm#58,WC,50,I,Rio de Janeiro.,1950,,,
1950,BRAZIL,GROUP_STAGE,1,0,(0,0),Spain ,England,1950_BRAZIL_FS.htm#64,WC,50,I,Rio de Janeiro.,1950,,,
1950,BRAZIL,GROUP_STAGE,2,0,(1,0),Italy,Paraguay,1950_BRAZIL_FS.htm#68,WC,50,I,Sí£o_Paulo.,1950,,,
1950,BRAZIL,GROUP_STAGE,8,0,(4,0),Uruguay,Bolivia,1950_BRAZIL_FS.htm#69,WC,50,I,Belo Horizonte.,1950,,,
1950,BRAZIL,GROUP_STAGE,2,1,(2,0),Switzerland ,Mexico ,1950_BRAZIL_FS.htm#59,WC,50,I,Porto_Alegre.,1950,,,
1950,BRAZIL,GROUP_STAGE,5,2,(2,0),Chile,United States,1950_BRAZIL_FS.htm#65,WC,50,I,Recife.,1950,,,
1950,BRAZIL,FINAL_ROUND,7,1,(3,0),Brazil ,Sweden ,1950_BRAZIL_FS.htm#70,WC,50,II,Rio de Janeiro.,1950,,,
1950,BRAZIL,FINAL_ROUND,2,2,(1,2),Uruguay,Spain ,1950_BRAZIL_FS.htm#71,WC,50,II,Sí£o_Paulo.,1950,,,
1950,BRAZIL,FINAL_ROUND,3,2,(1,2),Uruguay,Sweden ,1950_BRAZIL_FS.htm#72,WC,50,II,Sí£o_Paulo.,1950,,,
1950,BRAZIL,FINAL_ROUND,6,1,(3,0),Brazil ,Spain ,1950_BRAZIL_FS.htm#73,WC,50,II,Rio de Janeiro.,1950,,,
1950,BRAZIL,FINAL_ROUND,3,1,(2,0),Sweden ,Spain ,1950_BRAZIL_FS.htm#75,WC,50,II,Sí£o_Paulo.,1950,,,
1950,BRAZIL,FINAL_ROUND,2,1,(0,0),Uruguay,Brazil ,1950_BRAZIL_FS.htm#74,WC,50,II,Rio de Janeiro.,1950,,,
1954,SWITZERLAND,PRELIMINARY,1,0,(1,0),Yugoslavia ,Greece,1954_SWITZERLAND_PR.htm,Beograd.,1953,,,,,,
1954,SWITZERLAND,PRELIMINARY,2,4,(0,3),Finland,Belgium,1954_SWITZERLAND_PR.htm,Helsinki.,1953,,,,,,
